id,country_long,name,primary_fuel,capacity_mw,commissioning_year,passage
0,United Kingdom,14 Tullywiggan Road,Biomass,1.0,,The 14 Tullywiggan Road power plant in United Kingdom. It is a Biomass facility with a capacity of 1 MW. Located at latitude 55 and longitude -7.
1,United Kingdom,289 Finvoy Road,Solar,5.9,,The 289 Finvoy Road power plant in United Kingdom. It is a Solar facility with a capacity of 6 MW. Located at latitude 55 and longitude -6.
2,United Kingdom,30 Acres,Solar,4.965,,The 30 Acres power plant in United Kingdom. It is a Solar facility with a capacity of 5 MW. Located at latitude 53 and longitude -1.
3,United Kingdom,A C Shropshire (Farm AD),Biomass,2.5,,The A C Shropshire (Farm AD) power plant in United Kingdom. It is a Biomass facility with a capacity of 2 MW. Located at latitude 53 and longitude -1.
4,United Kingdom,A'Chruach,Wind,42.6,,The A'Chruach power plant in United Kingdom. It is a Wind facility with a capacity of 43 MW. Located at latitude 56 and longitude -5.
5,United Kingdom,ABP Ellesmere Abbatoir,Biomass,1.1,,The ABP Ellesmere Abbatoir power plant in United Kingdom. It is a Biomass facility with a capacity of 1 MW. Located at latitude 53 and longitude -3.
6,United Kingdom,AMBLESTON SOLAR PANELS,Solar,6.0,,The AMBLESTON SOLAR PANELS power plant in United Kingdom. It is a Solar facility with a capacity of 6 MW. Located at latitude 52 and longitude -5.
7,United Kingdom,ANP Newport Wind Turbine,Wind,2.3,,The ANP Newport Wind Turbine power plant in United Kingdom. It is a Wind facility with a capacity of 2 MW. Located at latitude 52 and longitude -3.
8,United Kingdom,Abbey Farm,Solar,9.0,,The Abbey Farm power plant in United Kingdom. It is a Solar facility with a capacity of 9 MW. Located at latitude 52 and longitude 0.
9,United Kingdom,Abbey Fields Farm,Solar,5.3,,The Abbey Fields Farm power plant in United Kingdom. It is a Solar facility with a capacity of 5 MW. Located at latitude 51 and longitude 1.
10,United Kingdom,Abbots Ann,Solar,7.0,,The Abbots Ann power plant in United Kingdom. It is a Solar facility with a capacity of 7 MW. Located at latitude 51 and longitude -2.
11,United Kingdom,Abbots Ripton,Solar,24.66717,,The Abbots Ripton power plant in United Kingdom. It is a Solar facility with a capacity of 25 MW. Located at latitude 52 and longitude 0.
12,United Kingdom,Abbots Ripton Solar Farm (ext.),Solar,3.9,,The Abbots Ripton Solar Farm (ext.) power plant in United Kingdom. It is a Solar facility with a capacity of 4 MW. Located at latitude 52 and longitude 0.
13,United Kingdom,Abbots moor Farm Anaerobic Digester (Farm AD),Biomass,1.0,,The Abbots moor Farm Anaerobic Digester (Farm AD) power plant in United Kingdom. It is a Biomass facility with a capacity of 1 MW. Located at latitude 53 and longitude -3.
14,United Kingdom,Abergelli,Solar,7.68222,,The Abergelli power plant in United Kingdom. It is a Solar facility with a capacity of 8 MW. Located at latitude 52 and longitude -4.
15,United Kingdom,Aberporth Solar Farm,Solar,1.5,,The Aberporth Solar Farm power plant in United Kingdom. It is a Solar facility with a capacity of 2 MW. Located at latitude 52 and longitude -5.
16,United Kingdom,Aberthaw B,Coal,1586.0,,The Aberthaw B power plant in United Kingdom. It is a Coal facility with a capacity of 1586 MW. Located at latitude 51 and longitude -3.
17,United Kingdom,Aberthaw GT,Gas,51.0,,The Aberthaw GT power plant in United Kingdom. It is a Gas facility with a capacity of 51 MW. Located at latitude 51 and longitude -3.
18,United Kingdom,Aberthaw Power Station Biomass,Biomass,35.0,,The Aberthaw Power Station Biomass power plant in United Kingdom. It is a Biomass facility with a capacity of 35 MW. Located at latitude 51 and longitude -3.
19,United Kingdom,Abhainn Gleann Nam Fiadh,Hydro,2.0,,The Abhainn Gleann Nam Fiadh power plant in United Kingdom. It is a Hydro facility with a capacity of 2 MW. Located at latitude 57 and longitude -5.
20,United Kingdom,Achairn,Wind,6.2,,The Achairn power plant in United Kingdom. It is a Wind facility with a capacity of 6 MW. Located at latitude 58 and longitude -3.
21,United Kingdom,Achanalt,Hydro,3.0,,The Achanalt power plant in United Kingdom. It is a Hydro facility with a capacity of 3 MW. Located at latitude 58 and longitude -5.
22,United Kingdom,Achany,Wind,38.0,,The Achany power plant in United Kingdom. It is a Wind facility with a capacity of 38 MW. Located at latitude 58 and longitude -4.
23,United Kingdom,Acharn Forest Killin Biomass Plant,Biomass,5.6,,The Acharn Forest Killin Biomass Plant power plant in United Kingdom. It is a Biomass facility with a capacity of 6 MW. Located at latitude 56 and longitude -4.
24,United Kingdom,Achlachan Wind Farm,Wind,10.0,,The Achlachan Wind Farm power plant in United Kingdom. It is a Wind facility with a capacity of 10 MW. Located at latitude 58 and longitude -3.
25,United Kingdom,Advanced Manufacturing Research Centre,Wind,2.6,,The Advanced Manufacturing Research Centre power plant in United Kingdom. It is a Wind facility with a capacity of 3 MW. Located at latitude 53 and longitude -1.
26,United Kingdom,Afton Wind Farm,Wind,50.0,,The Afton Wind Farm power plant in United Kingdom. It is a Wind facility with a capacity of 50 MW. Located at latitude 55 and longitude -4.
27,United Kingdom,Agricultural Land at Trecastle,Solar,4.0,,The Agricultural Land at Trecastle power plant in United Kingdom. It is a Solar facility with a capacity of 4 MW. Located at latitude 52 and longitude -3.
28,United Kingdom,Aigas,Hydro,20.0,,The Aigas power plant in United Kingdom. It is a Hydro facility with a capacity of 20 MW. Located at latitude 57 and longitude -5.
