id,question
11495,What is the primary fuel source for the Townsend Hydro power plant?
11495,What is the generation capacity of the Townsend Hydro power plant in megawatts?
11495,In what year was the Townsend Hydro power plant commissioned?
6850,What is the primary fuel source for the IKEA Joliet Rooftop PV System power plant?
6850,What is the electrical generation capacity of the IKEA Joliet Rooftop PV System in megawatts?
6850,In what year was the IKEA Joliet Rooftop PV System commissioned?
11255,Where is the TPE Whitney Solar LLC power plant located and what is its primary fuel type?
11255,What is the capacity in megawatts of the TPE Whitney Solar LLC power plant?
11255,"When was the TPE Whitney Solar LLC plant commissioned, and what are its geographical coordinates?"
7187,In which country is the Judith Gap Wind Energy Center power plant located?
7187,What is the primary fuel source and generation capacity of the Judith Gap Wind Energy Center?
7187,"When was the Judith Gap Wind Energy Center commissioned, and what are its geographical coordinates?"
5304,What is the primary fuel source for the ENEL Salt Wells LLC power plant and what is its capacity?
5304,"In which country is the ENEL Salt Wells LLC power plant located, and what year was it commissioned?"
5304,What are the latitude and longitude coordinates for the ENEL Salt Wells LLC power plant?
11659,In what country is the USS Lake Patterson Solar CSG power plant located?
11659,What is the primary fuel source and generation capacity of the USS Lake Patterson Solar CSG power plant?
11659,What year did the USS Lake Patterson Solar CSG power plant begin operations?
5735,What is the primary fuel type and commissioning year for the Flint Creek Hydroelectric LLC power plant?
5735,"In which country is the Flint Creek Hydroelectric LLC power plant located, and what is its generation capacity in megawatts?"
5735,Can you provide the latitude and longitude coordinates for the Flint Creek Hydroelectric LLC power plant?
6302,In which country is the Greater Sandhill I power plant located?
6302,What is the primary fuel type and capacity of the Greater Sandhill I facility?
6302,When was the Greater Sandhill I power plant commissioned?
396,"What type of fuel does the Burton Farm power plant use, and in which country is it located?"
396,What is the generating capacity of the Burton Farm power plant?
396,Do you have information on the commissioning year for the Burton Farm power plant?
1655,In which country is the Manor Farm (Monmouthshire) power plant located?
1655,What is the primary fuel source for the Manor Farm (Monmouthshire) power plant?
1655,What is the commissioning year for the Manor Farm (Monmouthshire) power plant?
6390,What is the primary fuel type and capacity in megawatts of the Guyton Community Solar power plant?
6390,"In which country is the Guyton Community Solar facility located, and what year was it commissioned?"
6390,Can you provide the latitude and longitude coordinates for the Guyton Community Solar plant?
5174,"What is the primary fuel source for the Dodge Center Solar plant, and in which country is it located?"
5174,"What is the generating capacity of the Dodge Center Solar facility, and when was it commissioned?"
5174,Could you provide the latitude and longitude coordinates for the Dodge Center Solar power plant?
8354,In which country is the Mitchell Solar LLC power plant located?
8354,What is the primary fuel source for the Mitchell Solar LLC facility?
8354,What is the generating capacity of the Mitchell Solar LLC power plant?
8354,In what year did the Mitchell Solar LLC power plant begin operations?
8354,What are the geographical coordinates of the Mitchell Solar LLC power plant?
7458,"In which country is the La Farge power plant located, and what are its latitude and longitude coordinates?"
7458,"What is the primary fuel type used by the La Farge power plant, and what is its generating capacity in megawatts?"
7458,In what year was the La Farge power plant commissioned?
6417,In which country is the HTW Plant 303 COGEN power plant located?
6417,What type of primary fuel does the HTW Plant 303 COGEN use?
6417,When was the HTW Plant 303 COGEN commissioned and what is its total generation capacity in megawatts?
4483,What is the primary fuel type of the Cibola power plant?
4483,In which country is the Cibola power plant located?
4483,When was the Cibola power plant commissioned?
3978,What is the primary fuel source for the Butler Ridge power plant?
3978,When did the Butler Ridge power plant begin operations?
3978,What are the geographical coordinates of the Butler Ridge power plant?
3944,What is the primary energy source for the Buidling L power plant?
3944,How many megawatts can the Buidling L power plant generate?
3944,When was the Buidling L power plant first put into service?
8400,What is the primary fuel source for the Montague Wind Power Facility LLC?
8400,What is the generating capacity of the Montague Wind Power Facility LLC?
8400,In what year was the Montague Wind Power Facility LLC commissioned?
4190,What is the primary fuel used by the Cannon Falls Energy Center?
4190,In what year did the Cannon Falls Energy Center begin operations?
4190,What are the geographic coordinates (latitude and longitude) of the Cannon Falls Energy Center?
8763,Where is the Nikiski Combined Cycle power plant located?
8763,What type of primary fuel does the Nikiski Combined Cycle power plant use?
8763,What is the power generation capacity of the Nikiski Combined Cycle plant in megawatts?
8725,What is the capacity of the New York Presbyterian Hospital-168th St power plant?
8725,When was the New York Presbyterian Hospital-168th St power plant commissioned?
8725,What is the primary fuel type used by the New York Presbyterian Hospital-168th St power plant?
8263,What is the name of the 50 MW solar power plant commissioned in 2018 in the United States?
8263,What is the primary fuel source for the Midway Solar Farm 1?
8263,What are the geographical coordinates of the Midway Solar Farm 1?
4653,What type of fuel does the Comanche (OK) power plant utilize?
4653,What is the operational capacity of the Comanche (OK) power plant in megawatts?
4653,"What are the geographical coordinates, including latitude and longitude, of the Comanche (OK) power plant?"
5568,What is the primary fuel source and capacity of the Expressway Solar B power plant?
